course,EX,A,B,C,D,P,F,EX%,A%,B%,C%,D%,P%,F%,session,Avg CGPA
AG31002-TRACTOR & POWER SYSTEMS,2,28,17,4,3,1,0,3.64,50.91,30.91,7.27,5.45,1.82,0,Spring21,8.35
AG31003-LAND & WATER RESOURCES ENGINEERING,4,14,10,13,8,6,1,7.14,25,17.86,23.21,14.29,10.71,1.79,Autumn19,7.48
AG31003-LAND & WATER RESOURCES ENGINEERING,2,24,19,6,1,0,1,3.77,45.28,35.85,11.32,1.89,0,1.89,Autumn20,8.3
AG31004-IRRIGATION & DRAINAGE ENGINEERING,4,15,10,12,12,3,0,7.14,26.79,17.86,21.43,21.43,5.36,0,Spring20,7.61
AG31004-IRRIGATION & DRAINAGE ENGINEERING,2,33,14,5,1,0,1,3.57,58.93,25,8.93,1.79,0,1.79,Spring21,8.46
AG31005-PRINCIPLES OF FOOD ENGINEERING,4,6,5,10,10,20,1,7.14,10.71,8.93,17.86,17.86,35.71,1.79,Autumn19,6.57
AG31005-PRINCIPLES OF FOOD ENGINEERING,6,40,1,2,0,1,1,11.76,78.43,1.96,3.92,0,1.96,1.96,Autumn20,8.84
AG31006-FOOD SCIENCE & TECHNOLOGY,2,5,18,18,11,2,0,3.57,8.93,32.14,32.14,19.64,3.57,0,Spring20,7.34
AG31006-FOOD SCIENCE & TECHNOLOGY,9,33,7,3,1,2,1,16.07,58.93,12.5,5.36,1.79,3.57,1.79,Spring21,8.64
AG31007-THEORY & DESIGN OF MACHINE ELEMENTS,2,14,13,16,8,1,0,3.7,25.93,24.07,29.63,14.81,1.85,0,Autumn19,7.69
AG31007-THEORY & DESIGN OF MACHINE ELEMENTS,5,18,19,7,1,2,0,9.62,34.62,36.54,13.46,1.92,3.85,0,Autumn20,8.25
AG31008-POST HARVEST ENGINEERING,2,14,8,17,11,4,0,3.57,25,14.29,30.36,19.64,7.14,0,Spring20,7.41
AG31008-POST HARVEST ENGINEERING,0,15,25,8,4,3,0,0,27.27,45.45,14.55,7.27,5.45,0,Spring21,7.82
AG31026-ORGANIC FOOD CHAIN MANAGEMENT,3,6,8,5,2,3,0,11.11,22.22,29.63,18.52,7.41,11.11,0,Spring20,7.78
AG31026-ORGANIC FOOD CHAIN MANAGEMENT,0,13,3,1,0,0,1,0,72.22,16.67,5.56,0,0,5.56,Spring21,8.44
AG39001-AGRICULTURAL MACHINERY LAB.,8,24,17,3,1,0,0,15.09,45.28,32.08,5.66,1.89,0,0,Autumn19,8.66
AG39001-AGRICULTURAL MACHINERY LAB.,3,37,6,2,1,0,0,6.12,75.51,12.24,4.08,2.04,0,0,Autumn20,8.8
AG39002-TRACTOR & POWER SYSTEMS LABORATORY,6,16,30,3,1,0,0,10.71,28.57,53.57,5.36,1.79,0,0,Spring20,8.41
AG39002-TRACTOR & POWER SYSTEMS LABORATORY,0,27,19,3,4,0,0,0,50.94,35.85,5.66,7.55,0,0,Spring21,8.3
AG39003-LAND & WATER RESOURCES ENGINEERING LAB.,16,15,12,7,5,0,1,28.57,26.79,21.43,12.5,8.93,0,1.79,Autumn19,8.46
AG39003-LAND & WATER RESOURCES ENGINEERING LAB.,12,27,8,3,0,0,2,23.08,51.92,15.38,5.77,0,0,3.85,Autumn20,8.77
AG39004-IRRIGATION & DRAINAGE ENGINEERING LABORATORY,9,27,10,9,0,1,0,16.07,48.21,17.86,16.07,0,1.79,0,Spring20,8.59
AG39004-IRRIGATION & DRAINAGE ENGINEERING LABORATORY,7,33,10,2,0,1,1,12.96,61.11,18.52,3.7,0,1.85,1.85,Spring21,8.7
AG39005-FOOD ENGINEERING LAB.,5,23,18,6,0,1,0,9.43,43.4,33.96,11.32,0,1.89,0,Autumn19,8.45
AG39005-FOOD ENGINEERING LAB.,8,32,6,2,1,1,0,16,64,12,4,2,2,0,Autumn20,8.82
AG39006-FOOD SCIENCE & TECHNOLOGY LABORATORY,0,12,39,2,1,2,0,0,21.43,69.64,3.57,1.79,3.57,0,Spring20,8.04
AG39006-FOOD SCIENCE & TECHNOLOGY LABORATORY,0,37,12,2,1,0,1,0,69.81,22.64,3.77,1.89,0,1.89,Spring21,8.55
AG40009-CAD AND SIMULATION OF AGRICULTURAL MACHINERY,6,17,6,5,0,0,0,17.65,50,17.65,14.71,0,0,0,Autumn20,8.71
AG40011-TUBEWELLS AND PUMPS,2,15,25,6,3,0,0,3.92,29.41,49.02,11.76,5.88,0,0,Autumn20,8.14
AG40018-INDUSTRIAL PROCESSING OF FOODS AND BEVERAGES,3,18,5,1,0,0,0,11.11,66.67,18.52,3.7,0,0,0,Spring21,8.85
AG40018-INDUSTRIAL PROCESSING OF FOODS AND BEVERAGES,0,1,0,0,0,0,0,0,100,0,0,0,0,0,Autumn20,9
AG40032-FOOD RHEOLOGY,2,0,0,0,0,0,0,100,0,0,0,0,0,0,Spring21,10
AG47007-PROJECT-I,1,24,8,4,1,0,0,2.63,63.16,21.05,10.53,2.63,0,0,Autumn20,8.53
AG48002-COMPREHENSIVE VIVA VOCE,0,3,10,6,2,0,0,0,14.29,47.62,28.57,9.52,0,0,Spring21,7.67
AG48003-SUMMER TRAINING,0,6,8,0,0,0,0,0,42.86,57.14,0,0,0,0,Autumn20,8.43
AG60002-,0,0,2,3,0,0,0,0,0,40,60,0,0,0,Spring21,7.4
AG60003-,0,1,0,0,0,0,1,0,50,0,0,0,0,50,Autumn20,6.5
AG60008-,2,19,4,1,0,0,0,7.69,73.08,15.38,3.85,0,0,0,Spring21,8.85
AG60008-,0,1,1,1,0,0,0,0,33.33,33.33,33.33,0,0,0,Spring20,8
AG60061-,0,0,0,1,0,0,0,0,0,0,100,0,0,0,Autumn20,7
AG60062-,3,8,3,1,0,0,0,20,53.33,20,6.67,0,0,0,Spring21,8.87
AG60080-,2,3,1,0,0,0,0,33.33,50,16.67,0,0,0,0,Spring21,9.17
AG60092-,0,2,0,2,0,0,0,0,50,0,50,0,0,0,Spring21,8
AG60096-,0,0,0,0,0,1,0,0,0,0,0,0,100,0,Spring21,5
AG60100-,0,2,0,0,0,0,0,0,100,0,0,0,0,0,Spring21,9
AG60105-,0,0,0,0,1,0,0,0,0,0,0,100,0,0,Autumn19,6
AG60109-,0,0,0,0,0,0,1,0,0,0,0,0,0,100,Autumn20,4
AG60121-,5,18,15,6,0,0,0,11.36,40.91,34.09,13.64,0,0,0,Autumn20,8.5
AG60124-,0,0,2,0,0,0,0,0,0,100,0,0,0,0,Spring21,8
AG60124-,0,0,1,0,0,0,0,0,0,100,0,0,0,0,Spring20,8
AG60129-,1,4,6,1,0,0,0,8.33,33.33,50,8.33,0,0,0,Autumn20,8.42
AG60132-,0,0,0,0,0,1,0,0,0,0,0,0,100,0,Spring21,5
AG60148-,0,2,0,0,0,0,0,0,100,0,0,0,0,0,Spring21,9
AG60164-,0,1,1,0,0,0,0,0,50,50,0,0,0,0,Spring21,8.5
AG60301-,0,1,1,0,0,0,0,0,50,50,0,0,0,0,Autumn20,8.5
AG60302-,0,1,1,0,0,0,0,0,50,50,0,0,0,0,Spring21,8.5
AG69004-,0,0,2,2,0,0,0,0,0,50,50,0,0,0,Spring21,7.5
AG69008-,1,1,0,0,0,0,0,50,50,0,0,0,0,0,Spring21,9.5
AG69014-,5,5,9,3,2,0,0,20.83,20.83,37.5,12.5,8.33,0,0,Spring21,8.33
AI42001-MACHINE LEARNING FOUNDATIONS AND APPLICATIONS,51,101,44,6,1,0,1,25,49.51,21.57,2.94,0.49,0,0.49,Autumn20,8.94
AI42001-MACHINE LEARNING FOUNDATIONS AND APPLICATIONS,3,4,8,3,0,0,0,16.67,22.22,44.44,16.67,0,0,0,Spring21,8.39
AI60002-,4,24,10,3,0,1,0,9.52,57.14,23.81,7.14,0,2.38,0,Spring21,8.62
AI60002-,0,1,0,0,0,0,0,0,100,0,0,0,0,0,Spring20,9
AI60002-,0,1,0,0,0,0,0,0,100,0,0,0,0,0,Autumn19,9
AI61002-,34,101,72,6,2,9,0,15.18,45.09,32.14,2.68,0.89,4.02,0,Spring21,8.59
AI61002-,0,0,0,0,0,3,0,0,0,0,0,0,100,0,Spring19,5
AI61002-,0,5,11,9,1,4,0,0,16.67,36.67,30,3.33,13.33,0,Spring20,7.4
AI61002-,0,0,1,0,0,0,0,0,0,100,0,0,0,0,Autumn20,8
AI61003-,27,56,13,9,4,0,0,24.77,51.38,11.93,8.26,3.67,0,0,Autumn20,8.85
AI61005-,18,69,34,11,4,2,2,12.86,49.29,24.29,7.86,2.86,1.43,1.43,Spring21,8.51
AI61005-,3,1,7,3,0,0,1,20,6.67,46.67,20,0,0,6.67,Spring20,8
AI61005-,7,9,18,9,3,0,1,14.89,19.15,38.3,19.15,6.38,0,2.13,Autumn20,8.09
AI61005-,0,0,0,0,1,0,0,0,0,0,0,100,0,0,Autumn19,6
AR12002-BUILDING MATERIALS,2,10,17,7,0,1,0,5.41,27.03,45.95,18.92,0,2.7,0,Spring18,8.11
AR12002-BUILDING MATERIALS,5,11,11,5,1,0,0,15.15,33.33,33.33,15.15,3.03,0,0,Spring19,8.42
AR12002-BUILDING MATERIALS,7,7,9,13,2,2,0,17.5,17.5,22.5,32.5,5,5,0,Spring20,7.95
AR12003-INTRODUCTION TO ARCHITECTURE,2,17,8,6,4,0,0,5.41,45.95,21.62,16.22,10.81,0,0,Autumn17,8.19
AR12003-INTRODUCTION TO ARCHITECTURE,2,6,7,8,6,4,0,6.06,18.18,21.21,24.24,18.18,12.12,0,Autumn18,7.33
AR12003-INTRODUCTION TO ARCHITECTURE,3,2,7,11,10,7,0,7.5,5,17.5,27.5,25,17.5,0,Autumn19,6.9
AR13201-BASIC DESIGN-I,5,17,15,0,0,0,0,13.51,45.95,40.54,0,0,0,0,Autumn17,8.73
AR13201-BASIC DESIGN-I,4,13,15,1,0,0,0,12.12,39.39,45.45,3.03,0,0,0,Autumn18,8.61
AR13201-BASIC DESIGN-I,3,24,10,3,0,0,0,7.5,60,25,7.5,0,0,0,Autumn19,8.68
AR13202-BASIC DESIGN-II  AND MODELING,3,13,10,8,2,1,0,8.11,35.14,27.03,21.62,5.41,2.7,0,Spring18,8.11
AR13202-BASIC DESIGN-II  AND MODELING,1,4,9,7,5,7,0,3.03,12.12,27.27,21.21,15.15,21.21,0,Spring19,7.03
AR13202-BASIC DESIGN-II  AND MODELING,4,18,13,4,1,0,0,10,45,32.5,10,2.5,0,0,Spring20,8.5
AR13203-DESCRIPTIVE GEOMETRY-I,0,2,15,14,4,2,0,0,5.41,40.54,37.84,10.81,5.41,0,Autumn17,7.3
AR13203-DESCRIPTIVE GEOMETRY-I,1,14,15,3,0,0,0,3.03,42.42,45.45,9.09,0,0,0,Autumn18,8.39
AR13203-DESCRIPTIVE GEOMETRY-I,1,5,15,15,4,0,0,2.5,12.5,37.5,37.5,10,0,0,Autumn19,7.6
AR13204-DESCRIPTIVE GEOMETRY-II,2,13,9,11,2,0,0,5.41,35.14,24.32,29.73,5.41,0,0,Spring18,8.05
AR13204-DESCRIPTIVE GEOMETRY-II,2,8,10,12,0,1,0,6.06,24.24,30.3,36.36,0,3.03,0,Spring19,7.91
AR13204-DESCRIPTIVE GEOMETRY-II,4,22,14,0,0,0,0,10,55,35,0,0,0,0,Spring20,8.75
AR13205-GRAPHICS AND VISUAL COMMUNICATION,10,12,13,1,1,0,0,27.03,32.43,35.14,2.7,2.7,0,0,Autumn17,8.78
AR13205-GRAPHICS AND VISUAL COMMUNICATION,0,8,9,10,5,1,0,0,24.24,27.27,30.3,15.15,3.03,0,Autumn18,7.55
AR13205-GRAPHICS AND VISUAL COMMUNICATION,3,7,11,8,3,8,0,7.5,17.5,27.5,20,7.5,20,0,Autumn19,7.38
AR22001-ADVANCED BUILDING MATERIALS AND COMPOSITES,5,10,15,3,3,1,0,13.51,27.03,40.54,8.11,8.11,2.7,0,Autumn18,8.22
AR22001-ADVANCED BUILDING MATERIALS AND COMPOSITES,5,10,16,2,0,0,0,15.15,30.3,48.48,6.06,0,0,0,Autumn19,8.55
AR22001-ADVANCED BUILDING MATERIALS AND COMPOSITES,3,10,24,3,0,0,0,7.5,25,60,7.5,0,0,0,Autumn20,8.33
AR22003-CLIMATOLOGY & SOLAR ARCHITECTURE,6,9,8,9,0,5,0,16.22,24.32,21.62,24.32,0,13.51,0,Autumn18,7.92
AR22003-CLIMATOLOGY & SOLAR ARCHITECTURE,6,15,4,3,2,3,0,18.18,45.45,12.12,9.09,6.06,9.09,0,Autumn19,8.33
AR22003-CLIMATOLOGY & SOLAR ARCHITECTURE,0,40,0,0,0,0,0,0,100,0,0,0,0,0,Autumn20,9
AR22004-WATER SUPPLY AND SANITATION,1,2,6,3,8,17,0,2.7,5.41,16.22,8.11,21.62,45.95,0,Spring19,6.22
AR22004-WATER SUPPLY AND SANITATION,0,6,11,8,5,3,0,0,18.18,33.33,24.24,15.15,9.09,0,Spring20,7.36
AR22004-WATER SUPPLY AND SANITATION,0,3,7,15,9,6,0,0,7.5,17.5,37.5,22.5,15,0,Spring21,6.8
AR22005-HISTORY OF ARCHITECTURE-I,9,20,7,1,0,0,0,24.32,54.05,18.92,2.7,0,0,0,Autumn18,9
AR22005-HISTORY OF ARCHITECTURE-I,5,24,3,1,0,0,0,15.15,72.73,9.09,3.03,0,0,0,Autumn19,9
AR22005-HISTORY OF ARCHITECTURE-I,7,15,18,0,0,0,0,17.5,37.5,45,0,0,0,0,Autumn20,8.73
AR22006-HISTORY OF ARCHITECTURE-II,2,19,15,1,0,0,0,5.41,51.35,40.54,2.7,0,0,0,Spring19,8.59
